,Currency,Tenor,Tenor Ticker,yield,Rolldown
0,USD,1M,912797HN Govt,5.392,
1,USD,2M,912797HX Govt,5.419,0.027
2,USD,3M,912797GM Govt,5.43,0.011
3,USD,4M,912797JG Govt,5.457,0.027
4,USD,6M,912797HQ Govt,5.495,0.038
5,USD,1Y,912797HE Govt,5.331,-0.164
6,USD,2Y,91282CJE Govt,4.927,-0.404
7,USD,3Y,91282CJC Govt,4.712,-0.215
8,USD,5Y,91282CJF Govt,4.555,-0.157
9,USD,7Y,91282CJG Govt,4.596,0.041
10,USD,10Y,91282CHT Govt,4.586,-0.01
11,USD,20Y,912810TU Govt,4.925,0.339
12,USD,30Y,912810TT Govt,4.745,-0.18
13,AUD,3M,ZI934320 Corp,4.317,
14,AUD,1Y,BH728232 Corp,4.459,0.142
15,AUD,2Y,BK467633 Corp,4.302,-0.157
16,AUD,3Y,ZO541862 Corp,4.243,-0.059
17,AUD,4Y,JV319866 Corp,4.283,0.04
18,AUD,5Y,AM564740 Corp,4.342,0.059
19,AUD,6Y,AQ762933 Corp,4.429,0.087
20,AUD,7Y,BJ391612 Corp,4.535,0.106
21,AUD,8Y,ZO114556 Corp,4.612,0.077
22,AUD,9Y,BP026141 Corp,4.672,0.06
23,AUD,10Y,BV865034 Corp,4.695,0.023
24,AUD,12Y,EK821167 Corp,4.754,0.059
25,AUD,15Y,QJ152182 Corp,4.93,0.176
26,AUD,20Y,AT496992 Corp,5.004,0.074
27,AUD,30Y,BK467634 Corp,5.047,0.043
28,CAD,3M,ZJ917482 Corp,4.986,
29,CAD,6M,ZH417633 Corp,5.057,0.071
30,CAD,1Y,ZH417632 Corp,4.998,-0.059
31,CAD,2Y,ZI172842 Corp,4.427,-0.571
32,CAD,3Y,BP100314 Corp,4.133,-0.294
33,CAD,4Y,BW506722 Corp,3.955,-0.178
34,CAD,5Y,ZK298609 Corp,3.834,-0.121
35,CAD,6Y,AZ801479 Corp,3.783,-0.051
36,CAD,7Y,ZO760437 Corp,3.784,0.001
37,CAD,8Y,BS070923 Corp,3.783,-0.001
38,CAD,9Y,BY282503 Corp,3.786,0.003
39,CAD,10Y,ZJ077798 Corp,3.75,-0.036
40,CAD,20Y,EH402098 Corp,3.683,-0.067
41,CAD,30Y,BQ802174 Corp,3.535,-0.148
42,CHF,3M,ZH689575 Corp,1.6,
43,CHF,6M,ZI990709 Corp,1.57,-0.03
44,CHF,1Y,EJ175271 Corp,1.555,-0.015
45,CHF,2Y,EJ749344 Corp,1.282,-0.273
46,CHF,3Y,EK272770 Corp,1.142,-0.14
47,CHF,4Y,EG555662 Corp,1.102,-0.04
48,CHF,5Y,EE190475 Corp,1.058,-0.044
49,CHF,6Y,LW361980 Corp,1.033,-0.025
50,CHF,7Y,EK911264 Corp,1.042,0.009
51,CHF,8Y,EI703556 Corp,1.09,0.048
52,CHF,9Y,AT062170 Corp,1.118,0.028
53,CHF,10Y,EC915295 Corp,1.138,0.02
54,CHF,12Y,EF295541 Corp,1.199,0.061
55,CHF,15Y,BZ664289 Corp,1.223,0.024
56,CHF,20Y,ZK968846 Corp,1.216,-0.007
57,CHF,25Y,EC071583 Corp,1.185,-0.031
58,CHF,30Y,AN528255 Corp,1.131,-0.054
59,CHF,40Y,LW075987 Corp,1.075,-0.056
60,CHF,50Y,EK325640 Corp,1.046,-0.029
61,DEM,1M,ZM574259 Corp,3.698,
62,DEM,3M,ZL003956 Corp,3.763,0.065
63,DEM,6M,ZK504301 Corp,3.756,-0.007
64,DEM,9M,ZJ685937 Corp,3.696,-0.06
65,DEM,1Y,ZH350644 Corp,3.628,-0.068
66,DEM,2Y,ZH377511 Corp,2.986,-0.642
67,DEM,3Y,BQ312492 Corp,2.751,-0.235
68,DEM,4Y,BX303989 Corp,2.608,-0.143
69,DEM,5Y,ZK885444 Corp,2.583,-0.025
70,DEM,6Y,BZ636318 Corp,2.565,-0.018
71,DEM,7Y,ZJ879041 Corp,2.587,0.022
72,DEM,8Y,BP980366 Corp,2.559,-0.028
73,DEM,9Y,BX334302 Corp,2.6,0.041
74,DEM,10Y,ZJ606779 Corp,2.667,0.067
75,DEM,15Y,BV982438 Corp,2.892,0.225
76,DEM,20Y,EI322934 Corp,2.923,0.031
77,DEM,25Y,AP115404 Corp,2.863,-0.06
78,DEM,30Y,BY899086 Corp,2.897,0.034
79,GBP,1M,ZK804788 Corp,5.27,
80,GBP,3M,ZI084676 Corp,5.284,0.014
81,GBP,6M,ZH783240 Corp,5.348,0.064
82,GBP,1Y,EK109396 Corp,4.967,-0.381
83,GBP,2Y,ZN905725 Corp,4.632,-0.335
84,GBP,3Y,BZ554885 Corp,4.357,-0.275
85,GBP,4Y,AM781675 Corp,4.146,-0.211
86,GBP,5Y,ZK981587 Corp,4.257,0.111
87,GBP,6Y,BR181418 Corp,4.185,-0.072
88,GBP,7Y,BH295614 Corp,4.122,-0.063
89,GBP,8Y,BS656441 Corp,4.217,0.095
90,GBP,9Y,EC256595 Corp,4.181,-0.036
