,Currency,Tenor,Tenor Ticker,yield,Rolldown,last_week_yield,last_month_yield,ccy_test,last_week_rolldown,last_month_rolldown
0,AUD,3M,ZI934320 Corp,4.245,,4.2589,,False,,
1,AUD,1Y,BH728232 Corp,4.494,0.249,4.5287,4.1645,True,0.2351000000000001,
2,AUD,2Y,BK467633 Corp,4.335,-0.159,4.4267,4.0187,True,-0.19369999999999976,0.17049999999999965
3,AUD,3Y,ZO541862 Corp,4.268,-0.067,4.3626,3.9973,True,-0.1587000000000005,0.24929999999999986
4,AUD,4Y,JV319866 Corp,4.307,0.039,4.4173,4.0371,True,-0.055599999999999206,0.3097000000000003
5,AUD,5Y,AM564740 Corp,4.367,0.06,4.4967,4.1139,True,-0.05030000000000001,0.3299000000000003
6,AUD,6Y,AQ762933 Corp,4.454,0.087,4.5985,4.2246,True,-0.04269999999999996,0.3400999999999996
7,AUD,7Y,BJ391612 Corp,4.563,0.109,4.712,4.3449,True,-0.035499999999999865,0.33840000000000003
8,AUD,8Y,ZO114556 Corp,4.639,0.076,4.7908,4.4371,True,-0.07299999999999951,0.29410000000000025
9,AUD,9Y,BP026141 Corp,4.7,0.061,4.8529,4.5122,True,-0.09079999999999977,0.26290000000000013
10,AUD,10Y,BV865034 Corp,4.722,0.022,4.8733,4.5404,True,-0.13089999999999957,0.20980000000000043
11,AUD,12Y,EK821167 Corp,4.783,0.061,4.9386,4.6027,True,-0.09030000000000005,0.24260000000000037
12,AUD,15Y,QJ152182 Corp,4.959,0.176,5.1276,4.7867,True,0.02039999999999953,0.35630000000000006
13,AUD,20Y,AT496992 Corp,5.032,0.073,5.2048,4.8484,True,-0.09560000000000013,0.2453000000000003
14,AUD,30Y,BK467634 Corp,5.076,0.044,5.25,4.9245,True,-0.12880000000000003,0.2275999999999998
15,CAD,3M,ZJ917482 Corp,4.982,,5.028,5.153,False,,
16,CAD,6M,ZH417633 Corp,5.055,0.073,5.1,,True,0.027000000000000135,-0.09799999999999986
17,CAD,1Y,ZH417632 Corp,4.99,-0.065,5.094,,True,-0.10999999999999943,
18,CAD,2Y,ZI172842 Corp,4.434,-0.556,4.655,4.847,True,-0.6600000000000001,
19,CAD,3Y,BP100314 Corp,4.15,-0.284,4.411,4.596,True,-0.5049999999999999,-0.6970000000000001
