date,PX_LAST_3m,PX_LAST_1y
2022-12-19,8.4775,7.935
2022-12-20,8.565,8.055
2022-12-21,8.4175,8.025
2022-12-22,8.5625,8.115
2022-12-23,8.6825,8.175
2022-12-26,8.805,8.2
2022-12-27,8.725,8.205
2022-12-28,8.715,8.2
2022-12-29,8.735,8.21
2022-12-30,8.76,8.16
2023-01-02,8.855,8.16
2023-01-03,8.9425,8.29
2023-01-04,8.815,8.24
2023-01-05,8.915,8.4
2023-01-06,8.765,8.33
2023-01-09,8.77,8.265
2023-01-10,8.6975,8.225
2023-01-11,8.605,8.17
2023-01-12,8.6,8.105
2023-01-13,8.315,7.935
2023-01-16,8.3175,7.845
2023-01-17,8.28,7.855
2023-01-18,8.065,7.7325
2023-01-19,8.165,7.755
2023-01-20,8.0425,7.75
2023-01-23,8.0575,7.7
2023-01-24,7.915,7.685
2023-01-25,8.07,7.7675
2023-01-26,8.0925,7.795
2023-01-27,8.05,7.7825
2023-01-30,8.1375,7.795
2023-01-31,8.3025,7.895
2023-02-01,7.9575,7.83
2023-02-02,7.865,7.665
2023-02-03,8.08,7.825
2023-02-06,8.4875,8.1075
2023-02-07,8.56,8.095
2023-02-08,8.135,7.88
2023-02-09,8.2925,7.8675
2023-02-10,8.6025,8.0
2023-02-13,8.635,8.0
2023-02-14,8.3075,7.85
2023-02-15,8.175,7.915
2023-02-16,8.005,7.81
2023-02-17,8.065,7.93
2023-02-20,8.0,7.85
2023-02-21,8.0425,7.88
2023-02-22,8.03,7.92
2023-02-23,8.0475,7.95
2023-02-24,8.03,8.025
2023-02-27,7.98,8.0075
2023-02-28,7.725,7.885
2023-03-01,7.815,7.8375
2023-03-02,7.9475,7.8675
2023-03-03,7.8,7.83
2023-03-06,7.7425,7.7425
2023-03-07,7.92,7.83
2023-03-08,8.0475,7.95
2023-03-09,8.0025,7.84
2023-03-10,8.16,8.065
2023-03-13,8.6875,8.4
2023-03-14,8.3275,8.175
2023-03-15,9.71,8.91
2023-03-16,8.9875,8.345
2023-03-17,8.745,8.41
